,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
70,stations,40.0,200,44.19,-88.46,1541022960.0,5264223.0,,32.0,1012.0,,54.21,55.04,53.06,,Neenah,,,US,2976.0,0.0054,1540989036.0,1541025814.0,1.0,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",260.0,7.7,11.41
71,stations,92.0,200,-33.21,138.6,1541024446.0,2069194.0,970.72,46.0,970.72,1027.91,74.18,74.18,74.18,,Jamestown,,0.105,AU,,0.0034,1540928800.0,1540977128.0,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",5.50085,,15.84
72,stations,76.0,200,62.67,131.17,1541024714.0,2026160.0,1003.15,91.0,1003.15,1028.11,17.66,17.66,17.66,,Borogontsy,,,RU,,0.0044,1540939714.0,1540969688.0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",282.501,,4.76
73,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
74,stations,36.0,200,63.29,118.35,1541024715.0,2018735.0,1005.58,88.0,1005.58,1028.28,15.82,15.82,15.82,,Nyurba,,,RU,,0.0097,1540942995.0,1540972559.0,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",85.5009,,4.76
75,stations,75.0,200,-33.73,-70.74,1541023200.0,3897774.0,,43.0,1017.0,,73.27,75.2,69.8,,Buin,,,CL,4645.0,0.0034,1540978960.0,1541027450.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",200.0,,17.22
76,stations,1.0,200,38.88,-99.33,1541022960.0,4272782.0,,46.0,1017.0,,57.02,57.92,55.94,,Hays,,,US,1073.0,0.0093,1540991067.0,1541029005.0,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",350.0,,4.7
77,stations,90.0,200,64.42,-173.23,1541021400.0,4031574.0,,93.0,1007.0,,39.2,39.2,39.2,,Provideniya,,,RU,7239.0,0.0033,1541013520.0,1541041988.0,1.0,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",200.0,,15.66
78,stations,0.0,200,60.14,-45.24,1541024717.0,3421765.0,1007.04,100.0,1007.04,1019.44,26.21,26.21,26.21,,Nanortalik,,,GL,,0.0037,1540981413.0,1541012669.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",318.001,,6.33
79,stations,48.0,200,15.52,73.76,1541024717.0,1274989.0,1015.96,100.0,1015.96,1022.76,77.96,77.96,77.96,,Candolim,,,IN,,0.0041,1540947672.0,1540989337.0,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",359.501,,3.42
80,stations,40.0,200,-33.93,18.42,1541023200.0,3369157.0,,76.0,1022.0,,50.0,50.0,50.0,,Cape Town,,,ZA,6529.0,0.0039,1540957558.0,1541006057.0,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",130.0,,4.7
